Date,Country,Status,AQI Value
2023-04-20,Uganda,Moderate,95
2023-04-20,Ukraine,Moderate,68
2023-04-20,United Arab Emirates,Moderate,74
2023-04-20,United Kingdom of Great Britain and Northern Ireland,Moderate,63
2023-04-20,United States of America,Moderate,98
2023-04-20,Uzbekistan,Moderate,60
2023-04-20,Vatican,Good,46
2023-04-20,Venezuela,Good,21
2023-04-20,Vietnam,Unhealthy,153
2023-04-20,Zambia,Good,29
2023-04-27,Albania,Good,11
2023-04-27,Andorra,Good,23
2023-04-27,Angola,Moderate,94
2023-04-27,Argentina,Moderate,82
2023-04-27,Armenia,Good,24
2023-04-27,Australia,Good,46
2023-04-27,Austria,Good,41
2023-04-27,Azerbaijan,Good,37
2023-04-27,Bahrain,Moderate,57
2023-04-27,Bangladesh,Unhealthy,162
2023-04-27,Belarus,Good,21
2023-04-27,Belgium,Moderate,64
2023-04-27,Belize,Moderate,61
2023-04-27,Bermuda,Good,14
2023-04-27,Bolivia,Good,13
2023-04-27,Bosnia and Herzegovina,Moderate,58
2023-04-27,Brazil,Moderate,59
2023-04-27,Brunei,Good,10
2023-04-27,Bulgaria,Good,27
2023-04-27,Burkina Faso,Hazardous,303
2023-04-27,Cambodia,Moderate,64
2023-04-27,Canada,Moderate,65
2023-04-27,Cape Verde,Good,12
2023-04-27,Cayman Islands,Good,23
2023-04-27,Central African Republic,Good,17
2023-04-27,Chile,Unhealthy,188
2023-04-27,China,Unhealthy,166
2023-04-27,Colombia,Moderate,78
2023-04-27,Costa Rica,Moderate,88
2023-04-27,Croatia,Good,36
2023-04-27,Cyprus,Moderate,53
2023-04-27,Czech Republic,Moderate,69
2023-04-27,Denmark,Good,22
2023-04-27,Dominican Republic,Good,29
2023-04-27,Ecuador,Moderate,69
2023-04-27,Egypt,Good,46
2023-04-27,El Salvador,Unhealthy for Sensitive Groups,111
2023-04-27,Estonia,Good,21
2023-04-27,Ethiopia,Unhealthy for Sensitive Groups,137
2023-04-27,Finland,Good,37
2023-04-27,France,Moderate,62
2023-04-27,French Guiana,Good,19
2023-04-27,Gabon,Moderate,67
2023-04-27,Georgia,Moderate,72
2023-04-27,Germany,Moderate,57
2023-04-27,Ghana,Moderate,72
2023-04-27,Gibraltar,Good,50
2023-04-27,Greece,Good,35
2023-04-27,Grenada,Good,9
2023-04-27,Guadeloupe,Good,7
2023-04-27,Guam,Good,8
2023-04-27,Guatemala,Unhealthy for Sensitive Groups,141
2023-04-27,Honduras,Unhealthy,160
2023-04-27,Hong Kong,Moderate,74
2023-04-27,Iceland,Good,6
2023-04-27,India,Very Unhealthy,256
2023-04-27,Indonesia,Moderate,67
2023-04-27,Iran,Unhealthy for Sensitive Groups,121
2023-04-27,Iraq,Unhealthy,158
2023-04-27,Ireland,Moderate,54
2023-04-27,Israel,Moderate,73
2023-04-27,Italy,Good,42
2023-04-27,Ivory Coast,Moderate,72
2023-04-27,Japan,Moderate,85
2023-04-27,Jersey,Unhealthy,153
2023-04-27,Jordan,Good,29
2023-04-27,Kazakhstan,Moderate,85
2023-04-27,Kenya,Moderate,60
2023-04-27,Kosovo,Good,42
2023-04-27,Kuwait,Moderate,78
2023-04-27,Kyrgyzstan,Moderate,74
2023-04-27,Laos,Moderate,98
2023-04-27,Latvia,Good,16
2023-04-27,Lebanon,Unhealthy for Sensitive Groups,126
2023-04-27,Liberia,Moderate,62
2023-04-27,Liechtenstein,Good,9
2023-04-27,Lithuania,Good,22
2023-04-27,Luxembourg,Good,44
2023-04-27,Macao,Moderate,91
2023-04-27,Macedonia,Good,46
2023-04-27,Madagascar,Unhealthy,155
2023-04-27,Malaysia,Moderate,58
2023-04-27,Malta,Good,44
2023-04-27,Martinique,Good,9
2023-04-27,Mexico,Unhealthy for Sensitive Groups,150
2023-04-27,Moldova,Good,13
2023-04-27,Monaco,Good,25
2023-04-27,Mongolia,Moderate,65
2023-04-27,Montenegro,Good,46
2023-04-27,Myanmar,Unhealthy for Sensitive Groups,118
2023-04-27,Nepal,Unhealthy,151
2023-04-27,Netherlands,Good,46
2023-04-27,New Caledonia,Good,21
2023-04-27,New Zealand,Good,30
2023-04-27,Nigeria,Moderate,92
2023-04-27,Norway,Good,31
2023-04-27,Pakistan,Moderate,85
2023-04-27,Palestinian Territory,Good,35
2023-04-27,Peru,Good,43
2023-04-27,Philippines,Moderate,57
2023-04-27,Poland,Moderate,82
2023-04-27,Portugal,Good,18
2023-04-27,Puerto Rico,Good,20
2023-04-27,Qatar,Good,42
2023-04-27,Reunion,Good,18
2023-04-27,Romania,Moderate,68
2023-04-27,Russia,Moderate,77
2023-04-27,San Marino,Good,35
2023-04-27,Saudi Arabia,Moderate,61
2023-04-27,Senegal,Moderate,98
2023-04-27,Serbia,Unhealthy for Sensitive Groups,101
2023-04-27,Singapore,Good,33
2023-04-27,Slovakia,Good,50
2023-04-27,Slovenia,Good,37
2023-04-27,South Africa,Unhealthy for Sensitive Groups,141
2023-04-27,South Korea,Unhealthy for Sensitive Groups,104
2023-04-27,Spain,Moderate,72
2023-04-27,Sri Lanka,Moderate,57
2023-04-27,Sudan,Unhealthy,151
2023-04-27,Sweden,Good,38
2023-04-27,Switzerland,Good,15
2023-04-27,Taiwan,Moderate,82
2023-04-27,Tajikistan,Moderate,58
2023-04-27,Thailand,Unhealthy,151
2023-04-27,Togo,Moderate,86
2023-04-27,Trinidad and Tobago,Good,30
2023-04-27,Turkey,Very Unhealthy,226
2023-04-27,Turkmenistan,Moderate,63
2023-04-27,Uganda,Moderate,59
2023-04-27,Ukraine,Moderate,59
2023-04-27,United Arab Emirates,Moderate,69
2023-04-27,United Kingdom of Great Britain and Northern Ireland,Moderate,75
2023-04-27,United States of America,Moderate,100
2023-04-27,Uzbekistan,Moderate,59
2023-04-27,Vatican,Good,30
2023-04-27,Venezuela,Good,6
2023-04-27,Vietnam,Unhealthy for Sensitive Groups,117
2023-04-27,Zambia,Good,28
2023-05-04,Albania,Good,24
2023-05-04,Algeria,Good,34
2023-05-04,Andorra,Good,37
2023-05-04,Angola,Unhealthy for Sensitive Groups,106
2023-05-04,Argentina,Good,28
2023-05-04,Armenia,Good,14
2023-05-04,Australia,Good,34
2023-05-04,Austria,Moderate,54
2023-05-04,Azerbaijan,Good,17
2023-05-04,Bahrain,Moderate,59
2023-05-04,Bangladesh,Unhealthy for Sensitive Groups,135
2023-05-04,Belarus,Good,35
2023-05-04,Belgium,Moderate,64
2023-05-04,Belize,Moderate,51
2023-05-04,Bermuda,Good,42
2023-05-04,Bolivia,Good,15
2023-05-04,Bosnia and Herzegovina,Moderate,56
2023-05-04,Brazil,Moderate,97
2023-05-04,Brunei,Good,11
2023-05-04,Bulgaria,Good,24
2023-05-04,Burkina Faso,Hazardous,316
2023-05-04,Cambodia,Good,30
2023-05-04,Canada,Moderate,63
2023-05-04,Cape Verde,Good,18
2023-05-04,Cayman Islands,Good,50
2023-05-04,Central African Republic,Good,38
2023-05-04,Chile,Unhealthy,170
2023-05-04,China,Unhealthy,159
2023-05-04,Colombia,Moderate,70
2023-05-04,Costa Rica,Good,39
2023-05-04,Croatia,Good,42
2023-05-04,Cyprus,Moderate,60
2023-05-04,Czech Republic,Moderate,89
2023-05-04,Denmark,Good,27
2023-05-04,Dominican Republic,Good,43
2023-05-04,Ecuador,Good,27
2023-05-04,Egypt,Good,33
2023-05-04,El Salvador,Moderate,90
2023-05-04,Estonia,Good,24
2023-05-04,Ethiopia,Unhealthy,175
2023-05-04,Finland,Good,29
2023-05-04,France,Moderate,63
2023-05-04,French Guiana,Good,48
2023-05-04,Georgia,Good,47
2023-05-04,Germany,Moderate,55
2023-05-04,Ghana,Moderate,55
2023-05-04,Gibraltar,Good,40
2023-05-04,Greece,Moderate,59
2023-05-04,Grenada,Good,12
2023-05-04,Guadeloupe,Good,12
2023-05-04,Guam,Good,3
2023-05-04,Guatemala,Unhealthy for Sensitive Groups,148
2023-05-04,Honduras,Unhealthy,168
2023-05-04,Hong Kong,Moderate,52
2023-05-04,Iceland,Good,39
2023-05-04,India,Unhealthy,181
2023-05-04,Indonesia,Moderate,61
2023-05-04,Iran,Unhealthy for Sensitive Groups,104
2023-05-04,Iraq,Unhealthy,163
2023-05-04,Ireland,Moderate,56
2023-05-04,Israel,Moderate,86
2023-05-04,Italy,Good,40
2023-05-04,Ivory Coast,Good,30
2023-05-04,Japan,Moderate,89
2023-05-04,Jersey,Moderate,71
2023-05-04,Jordan,Good,38
2023-05-04,Kazakhstan,Moderate,75
2023-05-04,Kenya,Moderate,99
2023-05-04,Kosovo,Good,28
2023-05-04,Kuwait,Moderate,55
2023-05-04,Kyrgyzstan,Moderate,67
2023-05-04,Laos,Moderate,96
2023-05-04,Latvia,Good,13
2023-05-04,Lebanon,Moderate,70
2023-05-04,Liberia,Good,48
2023-05-04,Liechtenstein,Good,11
2023-05-04,Lithuania,Good,14
2023-05-04,Luxembourg,Good,44
2023-05-04,Macao,Moderate,57
2023-05-04,Macedonia,Good,50
2023-05-04,Madagascar,Moderate,54
2023-05-04,Malaysia,Moderate,56
2023-05-04,Malta,Good,37
2023-05-04,Martinique,Good,17
2023-05-04,Mexico,Unhealthy,161
2023-05-04,Moldova,Good,15
2023-05-04,Monaco,Good,39
2023-05-04,Mongolia,Moderate,66
2023-05-04,Montenegro,Good,20
2023-05-04,Myanmar,Moderate,85
2023-05-04,Nepal,Moderate,96
2023-05-04,Netherlands,Moderate,51
2023-05-04,New Caledonia,Moderate,59
2023-05-04,New Zealand,Good,26
2023-05-04,Nigeria,Moderate,53
2023-05-04,Norway,Good,37
2023-05-04,Pakistan,Unhealthy for Sensitive Groups,107
2023-05-04,Palestinian Territory,Good,47
2023-05-04,Peru,Good,47
2023-05-04,Philippines,Good,33
2023-05-04,Poland,Moderate,81
2023-05-04,Portugal,Good,30
2023-05-04,Puerto Rico,Good,16
2023-05-04,Qatar,Good,33
2023-05-04,Reunion,Good,15
2023-05-04,Romania,Moderate,67
2023-05-04,Russia,Moderate,57
2023-05-04,San Marino,Good,39
2023-05-04,Saudi Arabia,Moderate,78
2023-05-04,Senegal,Good,50
2023-05-04,Serbia,Moderate,75
2023-05-04,Singapore,Good,33
2023-05-04,Slovakia,Good,48
2023-05-04,Slovenia,Good,50
2023-05-04,South Africa,Moderate,68
2023-05-04,South Korea,Moderate,90
2023-05-04,Spain,Moderate,56
2023-05-04,Sri Lanka,Moderate,51
2023-05-04,Sudan,Unhealthy for Sensitive Groups,139
2023-05-04,Sweden,Good,31
2023-05-04,Switzerland,Good,23
2023-05-04,Taiwan,Moderate,96
2023-05-04,Tajikistan,Moderate,68
2023-05-04,Thailand,Unhealthy for Sensitive Groups,146
2023-05-04,Togo,Unhealthy for Sensitive Groups,111
2023-05-04,Trinidad and Tobago,Good,44
2023-05-04,Turkey,Unhealthy for Sensitive Groups,113
2023-05-04,Turkmenistan,Good,30
2023-05-04,Uganda,Unhealthy for Sensitive Groups,109
2023-05-04,Ukraine,Moderate,58
2023-05-04,United Arab Emirates,Moderate,69
2023-05-04,United Kingdom of Great Britain and Northern Ireland,Moderate,75
2023-05-04,United States of America,Moderate,85
2023-05-04,Uzbekistan,Moderate,52
2023-05-04,Vatican,Good,38
2023-05-04,Venezuela,Good,25
2023-05-04,Vietnam,Unhealthy for Sensitive Groups,105
2023-05-11,Albania,Good,11
2023-05-11,Algeria,Good,34
2023-05-11,Andorra,Good,13
2023-05-11,Angola,Unhealthy for Sensitive Groups,117
2023-05-11,Argentina,Good,14
2023-05-11,Armenia,Good,22
2023-05-11,Australia,Good,41
2023-05-11,Austria,Good,38
2023-05-11,Azerbaijan,Good,35
2023-05-11,Bahrain,Unhealthy for Sensitive Groups,102
2023-05-11,Bangladesh,Unhealthy for Sensitive Groups,132
2023-05-11,Belarus,Good,38
2023-05-11,Belgium,Moderate,73
2023-05-11,Belize,Good,28
2023-05-11,Bermuda,Good,13
2023-05-11,Bolivia,Good,14
2023-05-11,Bosnia and Herzegovina,Good,41
2023-05-11,Brazil,Moderate,72
2023-05-11,Brunei,Good,10
2023-05-11,Bulgaria,Good,20
2023-05-11,Burkina Faso,Hazardous,313
2023-05-11,Cambodia,Moderate,53
2023-05-11,Canada,Moderate,81
2023-05-11,Cape Verde,Good,36
2023-05-11,Cayman Islands,Good,24
2023-05-11,Central African Republic,Moderate,70
2023-05-11,Chile,Unhealthy,176
2023-05-11,China,Unhealthy,153
2023-05-11,Colombia,Moderate,71
2023-05-11,Costa Rica,Moderate,54
2023-05-11,Croatia,Good,33
2023-05-11,Cyprus,Moderate,55
2023-05-11,Czech Republic,Moderate,68
2023-05-11,Denmark,Good,32
2023-05-11,Dominican Republic,Moderate,54
2023-05-11,Ecuador,Moderate,76
2023-05-11,Egypt,Moderate,59
2023-05-11,El Salvador,Unhealthy,154
2023-05-11,Estonia,Good,39
2023-05-11,Ethiopia,Unhealthy for Sensitive Groups,131
2023-05-11,Finland,Moderate,55
2023-05-11,France,Good,46
2023-05-11,French Guiana,Good,16
2023-05-11,Georgia,Good,44
2023-05-11,Germany,Moderate,71
2023-05-11,Ghana,Good,47
2023-05-11,Gibraltar,Good,43
2023-05-11,Greece,Good,40
2023-05-11,Grenada,Good,25
2023-05-11,Guadeloupe,Good,13
2023-05-11,Guam,Good,2
2023-05-11,Guatemala,Unhealthy for Sensitive Groups,124
2023-05-11,Honduras,Unhealthy,186
2023-05-11,Hong Kong,Moderate,71
2023-05-11,Iceland,Good,20
2023-05-11,India,Very Unhealthy,218
2023-05-11,Indonesia,Moderate,61
2023-05-11,Iran,Unhealthy for Sensitive Groups,122
2023-05-11,Iraq,Unhealthy,153
2023-05-11,Ireland,Good,23
2023-05-11,Israel,Moderate,94
2023-05-11,Italy,Moderate,73
2023-05-11,Ivory Coast,Good,25
2023-05-11,Japan,Moderate,87
2023-05-11,Jersey,Good,37
2023-05-11,Jordan,Good,35
2023-05-11,Kazakhstan,Unhealthy for Sensitive Groups,108
2023-05-11,Kenya,Good,41
2023-05-11,Kosovo,Good,38
2023-05-11,Kuwait,Moderate,97
2023-05-11,Kyrgyzstan,Moderate,61
2023-05-11,Laos,Moderate,74
2023-05-11,Latvia,Good,15
2023-05-11,Lebanon,Moderate,97
2023-05-11,Liberia,Moderate,55
2023-05-11,Liechtenstein,Good,17
2023-05-11,Lithuania,Good,31
2023-05-11,Luxembourg,Good,29
2023-05-11,Macao,Moderate,82
2023-05-11,Macedonia,Good,35
2023-05-11,Madagascar,Moderate,81
2023-05-11,Malaysia,Moderate,73
2023-05-11,Malta,Good,37
2023-05-11,Martinique,Good,34
2023-05-11,Mexico,Unhealthy for Sensitive Groups,142
2023-05-11,Moldova,Good,32
2023-05-11,Monaco,Good,26
2023-05-11,Mongolia,Moderate,84
2023-05-11,Montenegro,Good,19
2023-05-11,Myanmar,Moderate,60
2023-05-11,Nepal,Unhealthy for Sensitive Groups,113
2023-05-11,Netherlands,Moderate,64
2023-05-11,New Caledonia,Good,31
2023-05-11,New Zealand,Moderate,52
2023-05-11,Nigeria,Moderate,74
2023-05-11,Norway,Moderate,57
2023-05-11,Pakistan,Moderate,97
2023-05-11,Palestinian Territory,Moderate,54
2023-05-11,Peru,Moderate,68
2023-05-11,Philippines,Good,40
2023-05-11,Poland,Moderate,67
2023-05-11,Portugal,Good,31
2023-05-11,Puerto Rico,Good,20
2023-05-11,Qatar,Moderate,56
2023-05-11,Reunion,Good,20
2023-05-11,Romania,Moderate,59
2023-05-11,Russia,Moderate,75
2023-05-11,San Marino,Good,38
2023-05-11,Saudi Arabia,Good,50
2023-05-11,Senegal,Very Unhealthy,284
2023-05-11,Serbia,Moderate,55
2023-05-11,Singapore,Good,27
2023-05-11,Slovakia,Good,48
2023-05-11,Slovenia,Good,42
2023-05-11,South Africa,Unhealthy for Sensitive Groups,150
2023-05-11,South Korea,Unhealthy for Sensitive Groups,120
2023-05-11,Spain,Moderate,63
2023-05-11,Sri Lanka,Good,47
2023-05-11,Sudan,Unhealthy for Sensitive Groups,149
2023-05-11,Sweden,Moderate,59
2023-05-11,Switzerland,Good,17
2023-05-11,Taiwan,Unhealthy for Sensitive Groups,105
2023-05-11,Tajikistan,Moderate,60
2023-05-11,Thailand,Unhealthy for Sensitive Groups,111
2023-05-11,Togo,Moderate,69
2023-05-11,Trinidad and Tobago,Moderate,56
2023-05-11,Turkey,Moderate,97
2023-05-11,Turkmenistan,Moderate,91
2023-05-11,Uganda,Moderate,100
2023-05-11,Ukraine,Moderate,58
2023-05-11,United Arab Emirates,Moderate,79
2023-05-11,United Kingdom of Great Britain and Northern Ireland,Good,46
2023-05-11,United States of America,Unhealthy for Sensitive Groups,103
2023-05-11,Uzbekistan,Moderate,57
2023-05-11,Vatican,Good,50
2023-05-11,Venezuela,Good,17
2023-05-11,Vietnam,Moderate,94
2023-05-11,Zambia,Moderate,67
2023-05-18,Albania,Good,13
2023-05-18,Algeria,Good,28
2023-05-18,Andorra,Good,27
2023-05-18,Angola,Unhealthy for Sensitive Groups,102
2023-05-18,Argentina,Good,21
2023-05-18,Armenia,Good,19
2023-05-18,Australia,Moderate,55
2023-05-18,Austria,Good,36
2023-05-18,Azerbaijan,Good,25
2023-05-18,Bahrain,Moderate,85
2023-05-18,Bangladesh,Unhealthy,155
2023-05-18,Belarus,Moderate,55
2023-05-18,Belgium,Good,39
2023-05-18,Belize,Good,20
2023-05-18,Bermuda,Good,17
2023-05-18,Bolivia,Good,16
2023-05-18,Bosnia and Herzegovina,Good,34
2023-05-18,Brazil,Moderate,63
2023-05-18,Brunei,Good,15
2023-05-18,Bulgaria,Good,24
2023-05-18,Burkina Faso,Hazardous,301
2023-05-18,Cambodia,Moderate,64
2023-05-18,Canada,Unhealthy,174
2023-05-18,Cape Verde,Good,34
2023-05-18,Cayman Islands,Good,8
2023-05-18,Central African Republic,Moderate,70
2023-05-18,Chile,Unhealthy,178
2023-05-18,China,Unhealthy,158
2023-05-18,Colombia,Moderate,86
2023-05-18,Costa Rica,Good,21
2023-05-18,Croatia,Good,24
2023-05-18,Cyprus,Moderate,52
2023-05-18,Czech Republic,Moderate,63
2023-05-18,Denmark,Good,24
2023-05-18,Dominican Republic,Good,32
2023-05-18,Ecuador,Good,49
2023-05-18,Egypt,Moderate,61
2023-05-18,El Salvador,Moderate,80
2023-05-18,Estonia,Good,18
2023-05-18,Ethiopia,Unhealthy,154
2023-05-18,Finland,Good,18
2023-05-18,France,Good,50
2023-05-18,French Guiana,Good,12
2023-05-18,Georgia,Moderate,61
2023-05-18,Germany,Good,38
2023-05-18,Ghana,Good,22
2023-05-18,Gibraltar,Good,24
2023-05-18,Greece,Good,43
2023-05-18,Grenada,Good,19
2023-05-18,Guadeloupe,Good,23
2023-05-18,Guam,Good,3
2023-05-18,Guatemala,Unhealthy for Sensitive Groups,150
2023-05-18,Honduras,Unhealthy for Sensitive Groups,111
2023-05-18,Hong Kong,Moderate,81
2023-05-18,Iceland,Good,19
2023-05-18,India,Hazardous,394
2023-05-18,Indonesia,Moderate,94
2023-05-18,Iran,Unhealthy for Sensitive Groups,125
2023-05-18,Iraq,Unhealthy,157
2023-05-18,Ireland,Good,38
2023-05-18,Israel,Moderate,87
2023-05-18,Italy,Good,44
2023-05-18,Ivory Coast,Good,13
2023-05-18,Japan,Unhealthy for Sensitive Groups,144
2023-05-18,Jersey,Moderate,69
2023-05-18,Jordan,Good,31
2023-05-18,Kazakhstan,Moderate,72
2023-05-18,Kenya,Moderate,94
2023-05-18,Kosovo,Good,26
2023-05-18,Kuwait,Unhealthy for Sensitive Groups,106
2023-05-18,Kyrgyzstan,Moderate,55
2023-05-18,Laos,Unhealthy for Sensitive Groups,103
2023-05-18,Latvia,Good,4
2023-05-18,Lebanon,Moderate,93
2023-05-18,Liberia,Good,29
2023-05-18,Liechtenstein,Good,9
2023-05-18,Lithuania,Good,18
2023-05-18,Luxembourg,Good,48
2023-05-18,Macao,Moderate,89
2023-05-18,Macedonia,Good,35
2023-05-18,Madagascar,Moderate,94
2023-05-18,Malaysia,Moderate,69
2023-05-18,Malta,Good,47
2023-05-18,Martinique,Good,45
2023-05-18,Mexico,Unhealthy for Sensitive Groups,111
2023-05-18,Moldova,Good,13
2023-05-18,Monaco,Good,15
2023-05-18,Mongolia,Moderate,73
2023-05-18,Montenegro,Good,24
2023-05-18,Myanmar,Moderate,95
2023-05-18,Nepal,Unhealthy for Sensitive Groups,128
2023-05-18,Netherlands,Good,32
2023-05-18,New Caledonia,Good,18
2023-05-18,New Zealand,Good,34
2023-05-18,Nigeria,Moderate,89
2023-05-18,Norway,Good,21
2023-05-18,Pakistan,Moderate,62
2023-05-18,Palestinian Territory,Moderate,57
2023-05-18,Peru,Moderate,51
2023-05-18,Philippines,Moderate,73
2023-05-18,Poland,Good,46
2023-05-18,Portugal,Good,39
2023-05-18,Puerto Rico,Good,29
2023-05-18,Qatar,Moderate,85
2023-05-18,Reunion,Good,9
2023-05-18,Romania,Moderate,73
2023-05-18,Russia,Moderate,83
2023-05-18,San Marino,Good,34
2023-05-18,Saudi Arabia,Good,19
2023-05-18,Senegal,Very Unhealthy,277
2023-05-18,Serbia,Moderate,65
2023-05-18,Singapore,Moderate,55
2023-05-18,Slovakia,Good,30
2023-05-18,Slovenia,Good,24
2023-05-18,South Africa,Moderate,81
2023-05-18,South Korea,Moderate,90
2023-05-18,Spain,Moderate,62
2023-05-18,Sri Lanka,Moderate,65
2023-05-18,Sweden,Good,23
2023-05-18,Switzerland,Good,18
2023-05-18,Taiwan,Moderate,60
2023-05-18,Tajikistan,Moderate,58
2023-05-18,Thailand,Unhealthy for Sensitive Groups,145
2023-05-18,Togo,Moderate,86
2023-05-18,Trinidad and Tobago,Good,25
2023-05-18,Turkey,Unhealthy for Sensitive Groups,126
2023-05-18,Turkmenistan,Good,25
2023-05-18,Uganda,Moderate,92
2023-05-18,Ukraine,Moderate,76
2023-05-18,United Arab Emirates,Moderate,60
2023-05-18,United Kingdom of Great Britain and Northern Ireland,Moderate,56
2023-05-18,United States of America,Unhealthy for Sensitive Groups,137
2023-05-18,Uzbekistan,Unhealthy for Sensitive Groups,106
2023-05-18,Vatican,Good,19
2023-05-18,Venezuela,Good,20
2023-05-18,Vietnam,Unhealthy for Sensitive Groups,123
2023-05-18,Zambia,Unhealthy for Sensitive Groups,104
2023-05-25,Albania,Good,31
2023-05-25,Algeria,Good,5
2023-05-25,Andorra,Good,17
2023-05-25,Angola,Moderate,95
2023-05-25,Argentina,Good,26
2023-05-25,Armenia,Good,40
2023-05-25,Australia,Good,48
2023-05-25,Austria,Moderate,53
2023-05-25,Azerbaijan,Good,38
2023-05-25,Bahrain,Moderate,89
2023-05-25,Bangladesh,Unhealthy for Sensitive Groups,132
2023-05-25,Belarus,Moderate,59
2023-05-25,Belgium,Moderate,55
2023-05-25,Belize,Moderate,56
2023-05-25,Bermuda,Good,18
2023-05-25,Bolivia,Good,17
2023-05-25,Bosnia and Herzegovina,Moderate,55
2023-05-25,Brazil,Moderate,83
2023-05-25,Brunei,Good,16
2023-05-25,Bulgaria,Good,28
2023-05-25,Burkina Faso,Unhealthy for Sensitive Groups,108
2023-05-25,Cambodia,Good,38
2023-05-25,Canada,Moderate,76
2023-05-25,Cape Verde,Good,44
2023-05-25,Cayman Islands,Good,1
2023-05-25,Central African Republic,Moderate,53
2023-05-25,Chile,Unhealthy,179
2023-05-25,China,Unhealthy,191
2023-05-25,Colombia,Moderate,68
2023-05-25,Costa Rica,Good,41
2023-05-25,Croatia,Good,45
2023-05-25,Cyprus,Moderate,51
2023-05-25,Czech Republic,Moderate,62
2023-05-25,Denmark,Good,24
2023-05-25,Dominican Republic,Good,27
2023-05-25,Ecuador,Good,46
2023-05-25,Egypt,Moderate,69
2023-05-25,El Salvador,Moderate,90
2023-05-25,Estonia,Good,41
2023-05-25,Ethiopia,Unhealthy for Sensitive Groups,144
2023-05-25,Finland,Good,44
2023-05-25,France,Moderate,56
2023-05-25,French Guiana,Good,8
2023-05-25,Gabon,Moderate,66
2023-05-25,Georgia,Moderate,88
2023-05-25,Germany,Moderate,57
2023-05-25,Ghana,Moderate,56
2023-05-25,Gibraltar,Good,33
2023-05-25,Greece,Moderate,60
2023-05-25,Grenada,Good,15
2023-05-25,Guadeloupe,Good,11
2023-05-25,Guatemala,Unhealthy for Sensitive Groups,119
2023-05-25,Honduras,Unhealthy,162
2023-05-25,Hong Kong,Moderate,81
2023-05-25,Iceland,Good,37
2023-05-25,India,Unhealthy,181
2023-05-25,Indonesia,Moderate,91
2023-05-25,Iran,Unhealthy,162
2023-05-25,Iraq,Unhealthy,194
2023-05-25,Ireland,Good,42
2023-05-25,Israel,Moderate,99
2023-05-25,Italy,Moderate,64
2023-05-25,Ivory Coast,Good,17
2023-05-25,Japan,Moderate,90
2023-05-25,Jersey,Moderate,86
2023-05-25,Jordan,Good,39
2023-05-25,Kazakhstan,Moderate,70
2023-05-25,Kenya,Moderate,92
2023-05-25,Kosovo,Moderate,59
2023-05-25,Kuwait,Unhealthy,154
2023-05-25,Kyrgyzstan,Moderate,55
2023-05-25,Laos,Moderate,76
2023-05-25,Latvia,Good,11
2023-05-25,Lebanon,Unhealthy for Sensitive Groups,107
2023-05-25,Liberia,Good,28
2023-05-25,Liechtenstein,Moderate,56
2023-05-25,Lithuania,Good,33
2023-05-25,Luxembourg,Good,46
2023-05-25,Macao,Unhealthy for Sensitive Groups,104
2023-05-25,Macedonia,Moderate,54
2023-05-25,Madagascar,Moderate,88
2023-05-25,Malaysia,Moderate,68
2023-05-25,Malta,Good,41
2023-05-25,Martinique,Good,21
2023-05-25,Mexico,Unhealthy for Sensitive Groups,121
2023-05-25,Moldova,Good,13
2023-05-25,Monaco,Good,37
2023-05-25,Mongolia,Moderate,67
2023-05-25,Montenegro,Moderate,59
2023-05-25,Myanmar,Moderate,89
2023-05-25,Nepal,Moderate,82
2023-05-25,Netherlands,Good,45
2023-05-25,New Caledonia,Good,21
2023-05-25,New Zealand,Good,21
2023-05-25,Nigeria,Moderate,85
2023-05-25,Norway,Good,40
2023-05-25,Pakistan,Moderate,64
2023-05-25,Palestinian Territory,Moderate,79
2023-05-25,Peru,Good,37
2023-05-25,Philippines,Moderate,96
2023-05-25,Poland,Moderate,93
2023-05-25,Portugal,Good,29
2023-05-25,Puerto Rico,Good,13
2023-05-25,Qatar,Moderate,88
2023-05-25,Reunion,Good,16
2023-05-25,Romania,Moderate,70
2023-05-25,Russia,Unhealthy for Sensitive Groups,107
2023-05-25,San Marino,Good,50
2023-05-25,Saudi Arabia,Moderate,76
2023-05-25,Senegal,Good,37
2023-05-25,Serbia,Moderate,89
2023-05-25,Singapore,Good,48
2023-05-25,Slovakia,Moderate,53
2023-05-25,Slovenia,Good,39
2023-05-25,South Africa,Unhealthy for Sensitive Groups,138
2023-05-25,South Korea,Moderate,85
2023-05-25,Spain,Moderate,74
2023-05-25,Sri Lanka,Good,32
2023-05-25,Sweden,Good,39
2023-05-25,Switzerland,Good,19
2023-05-25,Taiwan,Moderate,85
2023-05-25,Tajikistan,Moderate,59
2023-05-25,Thailand,Unhealthy for Sensitive Groups,111
2023-05-25,Togo,Unhealthy for Sensitive Groups,120
2023-05-25,Trinidad and Tobago,Good,16
2023-05-25,Turkey,Unhealthy for Sensitive Groups,135
2023-05-25,Turkmenistan,Moderate,68
2023-05-25,Uganda,Unhealthy for Sensitive Groups,138
2023-05-25,Ukraine,Moderate,63
2023-05-25,United Arab Emirates,Moderate,91
2023-05-25,United Kingdom of Great Britain and Northern Ireland,Moderate,57
2023-05-25,United States of America,Moderate,100
2023-05-25,Uzbekistan,Moderate,53
2023-05-25,Vatican,Moderate,53
2023-05-25,Venezuela,Good,15
2023-05-25,Vietnam,Moderate,86
2023-05-25,Zambia,Moderate,76
