Date,Country,Status,AQI Value
2023-01-12,Zambia,Moderate,59
2023-03-30,Albania,Moderate,72
2023-03-30,Algeria,Good,50
2023-03-30,Andorra,Good,35
2023-03-30,Angola,Moderate,80
2023-03-30,Argentina,Good,25
2023-03-30,Armenia,Good,30
2023-03-30,Australia,Good,29
2023-03-30,Austria,Good,24
2023-03-30,Azerbaijan,Good,40
2023-03-30,Bangladesh,Unhealthy for Sensitive Groups,150
2023-03-30,Belarus,Moderate,54
2023-03-30,Belgium,Good,32
2023-03-30,Belize,Good,29
2023-03-30,Bermuda,Good,10
2023-03-30,Bolivia,Good,8
2023-03-30,Bosnia and Herzegovina,Moderate,61
2023-03-30,Brazil,Moderate,58
2023-03-30,Brunei,Good,10
2023-03-30,Bulgaria,Good,31
2023-03-30,Burkina Faso,Hazardous,327
2023-03-30,Cambodia,Moderate,87
2023-03-30,Canada,Moderate,66
2023-03-30,Cape Verde,Moderate,53
2023-03-30,Cayman Islands,Good,10
2023-03-30,Central African Republic,Unhealthy,156
2023-03-30,Chad,Unhealthy,155
2023-03-30,Chile,Moderate,71
2023-03-30,China,Very Unhealthy,273
2023-03-30,Colombia,Moderate,86
2023-03-30,Costa Rica,Good,14
2023-03-30,Croatia,Good,28
2023-03-30,Cyprus,Good,44
2023-03-30,Czech Republic,Moderate,82
2023-03-30,Denmark,Good,33
2023-03-30,Dominican Republic,Good,19
2023-03-30,Ecuador,Moderate,78
2023-03-30,Egypt,Good,33
2023-03-30,El Salvador,Moderate,96
2023-03-30,Estonia,Good,25
2023-03-30,Ethiopia,Unhealthy,151
2023-03-30,Finland,Moderate,69
2023-03-30,France,Moderate,62
2023-03-30,French Guiana,Good,33
2023-03-30,Gabon,Moderate,69
2023-03-30,Georgia,Good,34
2023-03-30,Germany,Good,50
2023-03-30,Ghana,Moderate,54
2023-03-30,Gibraltar,Good,45
2023-03-30,Greece,Good,39
2023-03-30,Grenada,Good,2
2023-03-30,Guadeloupe,Good,14
2023-03-30,Guam,Good,8
2023-03-30,Guatemala,Moderate,53
2023-03-30,Honduras,Good,33
2023-03-30,Hong Kong,Moderate,58
2023-03-30,Iceland,Good,24
2023-03-30,India,Unhealthy,172
2023-03-30,Indonesia,Moderate,66
2023-03-30,Iran,Moderate,91
2023-03-30,Iraq,Moderate,65
2023-03-30,Ireland,Moderate,52
2023-03-30,Israel,Moderate,57
2023-03-30,Italy,Moderate,52
2023-03-30,Ivory Coast,Moderate,63
2023-03-30,Japan,Moderate,80
2023-03-30,Jersey,Moderate,64
2023-03-30,Jordan,Good,23
2023-03-30,Kazakhstan,Unhealthy for Sensitive Groups,104
2023-03-30,Kenya,Moderate,77
2023-03-30,Kosovo,Good,29
2023-03-30,Kuwait,Moderate,65
2023-03-30,Kyrgyzstan,Moderate,90
2023-03-30,Laos,Unhealthy,188
2023-03-30,Latvia,Good,50
2023-03-30,Lebanon,Moderate,51
2023-03-30,Liechtenstein,Good,28
2023-03-30,Lithuania,Good,23
2023-03-30,Luxembourg,Good,27
2023-03-30,Macao,Moderate,55
2023-03-30,Macedonia,Unhealthy for Sensitive Groups,105
2023-03-30,Madagascar,Good,37
2023-03-30,Malaysia,Moderate,63
2023-03-30,Malta,Good,30
2023-03-30,Martinique,Good,18
2023-03-30,Mexico,Unhealthy,156
2023-03-30,Moldova,Good,43
2023-03-30,Monaco,Good,23
2023-03-30,Mongolia,Moderate,88
2023-03-30,Montenegro,Moderate,62
2023-03-30,Myanmar,Very Unhealthy,298
2023-03-30,Nepal,Unhealthy,173
2023-03-30,Netherlands,Good,50
2023-03-30,New Caledonia,Good,27
2023-03-30,New Zealand,Good,24
2023-03-30,Nigeria,Moderate,74
2023-03-30,Norway,Moderate,53
2023-03-30,Pakistan,Moderate,66
2023-03-30,Palestinian Territory,Good,36
2023-03-30,Peru,Good,46
2023-03-30,Philippines,Moderate,52
2023-03-30,Poland,Moderate,91
2023-03-30,Portugal,Good,26
2023-03-30,Puerto Rico,Good,5
2023-03-30,Qatar,Moderate,82
2023-03-30,Reunion,Good,10
2023-03-30,Romania,Unhealthy for Sensitive Groups,134
2023-03-30,Russia,Moderate,60
2023-03-30,San Marino,Good,40
2023-03-30,Saudi Arabia,Unhealthy for Sensitive Groups,102
2023-03-30,Senegal,Moderate,51
2023-03-30,Serbia,Unhealthy,162
2023-03-30,Singapore,Good,46
2023-03-30,Slovakia,Moderate,69
2023-03-30,Slovenia,Good,34
2023-03-30,South Africa,Unhealthy for Sensitive Groups,117
2023-03-30,South Korea,Unhealthy,163
2023-03-30,Spain,Moderate,72
2023-03-30,Sri Lanka,Moderate,55
2023-03-30,Sudan,Unhealthy,160
2023-03-30,Sweden,Good,44
2023-03-30,Switzerland,Good,31
2023-03-30,Taiwan,Moderate,95
2023-03-30,Tajikistan,Moderate,77
2023-03-30,Thailand,Hazardous,380
2023-03-30,Togo,Moderate,92
2023-03-30,Trinidad and Tobago,Good,48
2023-03-30,Turkey,Moderate,89
2023-03-30,Turkmenistan,Good,46
2023-03-30,Uganda,Unhealthy for Sensitive Groups,125
2023-03-30,Ukraine,Unhealthy for Sensitive Groups,117
2023-03-30,United Arab Emirates,Moderate,55
2023-03-30,United Kingdom of Great Britain and Northern Ireland,Moderate,64
2023-03-30,United States of America,Moderate,87
2023-03-30,Uzbekistan,Moderate,81
2023-03-30,Vatican,Good,50
2023-03-30,Venezuela,Good,8
2023-03-30,Vietnam,Unhealthy for Sensitive Groups,150
2023-03-30,Zambia,Good,21
2023-04-06,Albania,Moderate,66
